psi_deg,delta_dm,n_hemi1,n_hemi2
156.0,-42.980931665784965,121,638
157.0,-42.980931665784965,121,638
158.0,-42.980931665784965,121,638
159.0,-40.098170227310675,128,631
160.0,-45.577229324934706,130,629
161.0,-43.86163468299401,128,631
162.0,-35.51029233250847,124,635
163.0,-40.32946705979202,121,638
164.0,-40.607401230475034,118,641
165.0,-32.62119357707866,115,644
166.0,-31.283460691488244,114,645
167.0,-27.62904980197277,113,646
168.0,-27.98624737060868,112,647
169.0,-31.97316112861563,110,649
170.0,-27.22529565573791,107,652
171.0,-31.084830687015483,106,653
172.0,-35.729634021138054,108,651
173.0,-54.28002662678091,110,649
174.0,-60.8499080042634,110,649
175.0,-65.86050448848118,112,647
176.0,-65.8506304234827,111,648
177.0,-70.01382592384175,112,647
178.0,-60.890345412925626,112,647
179.0,-61.0560662828409,118,641
180.0,-74.51032757319035,117,642
181.0,-65.08490068899118,117,642
182.0,-61.76598645811055,117,642
183.0,-61.76598645811055,117,642
184.0,-61.298378203561015,116,643
185.0,-69.04458169877603,114,645
186.0,-69.04458169877603,114,645
187.0,-65.7945681484739,113,646
188.0,-62.87095997031065,112,647
189.0,-64.20747930637435,112,647
190.0,-46.591182300874834,114,645
191.0,-52.335346611370824,116,643
192.0,-36.36803045309671,117,642
193.0,-36.595948842518055,119,640
194.0,-29.404415309796377,123,636
195.0,-34.3038499499537,127,632
196.0,-34.53445473533816,125,634
197.0,-27.937620303613357,128,631
198.0,-25.33449411855554,129,630
199.0,-27.84112863176938,131,628
200.0,-21.201057979806592,132,627
201.0,-16.784278069659422,132,627
202.0,-16.784278069659422,132,627
203.0,-12.366725869807851,134,625
204.0,-4.506150784217425,134,625
205.0,-7.53229356509496,135,624
206.0,-12.623333967781036,138,621
207.0,-6.091974170803269,141,618
208.0,-10.871133698802623,149,610
209.0,-4.346008809782916,151,608
210.0,12.611264443732125,154,605
211.0,24.08382194193905,158,601
212.0,19.796819372000982,160,599
213.0,27.17886548515571,163,596
214.0,25.38589085240278,164,595
215.0,17.641729072159478,164,595
216.0,12.800927074596302,164,595
217.0,10.11212716902196,164,595
218.0,10.045270278957332,165,594
219.0,10.24201256772335,172,587
220.0,9.843546205076564,174,585
221.0,13.178626533784836,178,581
222.0,10.88747380838754,180,579
223.0,7.548226808755317,183,576
224.0,6.87028521575553,186,573
225.0,-1.8320159339630209,192,567
226.0,-5.5390615688320395,196,563
227.0,-2.2471859222191597,197,562
228.0,2.7021171749820496,202,557
229.0,0.03519862312305122,205,554
230.0,3.164138614321473,208,551
231.0,-2.4796086659766843,211,548
232.0,-3.384761008513806,214,545
233.0,0.3443267840493718,220,539
234.0,-6.337531736167875,225,534
235.0,2.76240076582485,228,531
236.0,1.0632964269702825,230,529
237.0,9.653738908876448,233,526
238.0,18.7862927904373,236,523
239.0,17.778516570808506,245,514
240.0,16.52872998208659,253,506
241.0,10.130997135437383,253,506
242.0,8.314684739077393,255,504
243.0,10.834184658269805,263,496
244.0,9.173762010360178,272,487
245.0,13.733344384033671,276,483
246.0,16.751786682717693,280,479
247.0,14.334636402351407,284,475
248.0,10.741305482345524,288,471
249.0,14.663794613712298,289,470
250.0,16.36157161056485,303,456
251.0,23.833314857878122,308,451
252.0,22.681181849265386,311,448
253.0,23.382940868184505,314,445
254.0,21.52889929467824,317,442
255.0,18.789659492155806,319,440
256.0,13.030544435725915,323,436
257.0,20.312292643877072,331,428
258.0,16.47617140151374,337,422
259.0,10.836905374761272,341,418
260.0,10.218560926459986,346,413
261.0,13.237865430515967,352,407
262.0,19.87899201422806,358,401
263.0,25.757800253482174,365,394
264.0,27.348673772825578,372,387
265.0,23.083038177567232,375,384
266.0,24.11991559188027,384,375
267.0,28.086482421740357,390,369
268.0,22.62551869204799,397,362
269.0,26.31479315026695,404,355
270.0,25.13903301078676,419,340
271.0,24.959119559571946,430,329
272.0,19.81593464989328,436,323
273.0,22.97189019288726,439,320
274.0,16.936345508995146,450,309
275.0,32.34912956755693,459,300
276.0,26.433134126794812,464,295
277.0,32.41921816307649,467,292
278.0,25.784520521443028,474,285
279.0,31.309439506600256,482,277
280.0,29.75364964375285,486,273
281.0,38.96110242725808,492,267
282.0,44.997955865361064,495,264
283.0,48.11337641385171,496,263
284.0,64.31683489154625,499,260
285.0,65.77907412244303,498,261
286.0,65.20639733340295,507,252
287.0,71.49501224834353,510,249
288.0,70.19680684418086,512,247
289.0,81.65599862197178,519,240
290.0,88.16907351554391,522,237
291.0,85.73074737645175,532,227
292.0,83.6538436108192,536,223
293.0,81.71136077329106,537,222
294.0,80.35502892971158,539,220
295.0,78.15321780723775,541,218
296.0,68.73676954212124,546,213
297.0,64.34303483886379,549,210
298.0,64.34303483886379,549,210
299.0,61.303106097469026,553,206
300.0,58.875028757351174,554,205
301.0,55.7706844302304,558,201
302.0,52.746459524334796,561,198
303.0,57.78897238603031,565,194
304.0,62.82945729012067,568,191
305.0,54.98789445353168,573,186
306.0,57.75445315724551,573,186
307.0,56.156253470338015,575,184
308.0,56.486470267201184,576,183
309.0,50.9762900914136,577,182
310.0,52.10635081326427,581,178
311.0,56.069697611452966,582,177
312.0,59.42121320377373,586,173
313.0,59.17123346176618,586,173
314.0,57.788666309664904,587,172
315.0,56.972650166101175,587,172
316.0,60.69770771186677,588,171
317.0,60.69770771186677,588,171
318.0,56.77683497021417,594,165
319.0,59.50754208904368,593,166
320.0,60.93101208334633,599,160
321.0,54.80617295059142,602,157
322.0,55.79773675654292,603,156
323.0,54.3874222238303,604,155
324.0,50.54378342932023,609,150
325.0,52.64308081915033,609,150
326.0,52.27412162658402,609,150
327.0,54.55284001501559,611,148
328.0,46.531059205870406,616,143
329.0,45.26416777781378,618,141
330.0,42.75089644878585,622,137
331.0,37.52477103617048,624,135
332.0,51.72883415447973,629,130
333.0,48.74771849866829,630,129
334.0,53.47480672267784,634,125
335.0,51.58010632475248,635,124
336.0,42.980931665784965,638,121
337.0,42.980931665784965,638,121
338.0,42.980931665784965,638,121
339.0,40.098170227310675,631,128
340.0,45.577229324934706,629,130
341.0,43.86163468299401,631,128
342.0,35.51029233250847,635,124
343.0,40.32946705979202,638,121
344.0,40.607401230475034,641,118
345.0,32.62119357707866,644,115
346.0,31.283460691488244,645,114
347.0,27.62904980197277,646,113
348.0,27.98624737060868,647,112
349.0,31.97316112861563,649,110
350.0,27.22529565573791,652,107
351.0,31.084830687015483,653,106
352.0,35.729634021138054,651,108
353.0,54.28002662678091,649,110
354.0,60.8499080042634,649,110
355.0,65.86050448848118,647,112
356.0,65.8506304234827,648,111
357.0,70.01382592384175,647,112
358.0,60.890345412925626,647,112
359.0,61.0560662828409,641,118
